id|Kanji|Strokes|"Name of Radical"|"Radical Freq."|"Reading within Joyo"|"Reading beyond Joyo"|"On within Joyo"|"Translation of On"|"Kun within Joyo"|"Translation of Kun"|"Kanji Frequency with Proper Nouns"
1583|日|4|"Nichi, Nichihen"|38|ニチ、ジツ、ひ、か||"nichi, 	jitsu"|"day; Sunday"|"hi, ka"|"sun; time; day, date"|2817613
1312|大|3|Dai|16|ダイ、タイ、おお、おお-きい、おお-いに|ダ|"dai, 	tai"|"large, huge, grand; the greater; size; very; inveterate (smoker); severe (damage); success"|"oo, oo(kii), oo(ini)"|"large, great, grand, mighty, immense; severe; heavy. very, much, greatly, exceedingly. heavy (rain); loud (voice); full-size, life-size"|1825235
1593|年|6|Ichijuu|5|ネン、とし||nen|"year; term of service"|toshi|"year; age, time of life"|1812728
1070|人|2|"Hito, Ninben, Hitoyane"|104|ジン、ニン、ひと||"jin, 	nin"|"man, person, people"|hito|"man, human being, mankind, person, people; character, personality; true man; man of talent; adult; other people; messenger; visitor"|1757335
661|国|8|Kunigamae|12|コク、くに||koku|country|kuni|"country, land, realm; province; native land "|1703390
1886|本|5|"Ki, Kihen"|85|ホン、もと||hon|"book; this, the same, the present, the current; main; true; real; regular, normal; counter for long things "|moto|"beginning, origin; foundation, basis, source; cause; root (of a tree); (raw) material, base; capital; principal; cost; forebears; formerly"|1485252
175|会|6|"Hito, Ninben, Hitoyane"|104|カイ、エ、あ-う|ケ|"kai, 	e"|"Buddhist ceremony; understanding; meeting, assembly; party; association, club"|a(u)|"meet, interview"|1467498
1376|中|4|Boo|1|チュウ、[ジュウ]、なか|うち、あ|"chuu, [jyuu]"|"center, middle; middle (course); (golden) mean; medium, mediocrity, average; second volume (of three) "|naka|"inside, interior, midst, middle, mean, midway "|1327113
41|一|1|Ichi|14|イチ、イツ、ひと、ひと-つ||"ichi, 	itsu"|"one, a"|"hito, hito(tsu)"|"one, a unit; the same; just; once"|1037182
845|者|8|Oikanmuri|3|シャ、もの||sha|"person; thing"|mono|"person, somebody"|966424
1397|長|8|Nagai|1|チョウ、なが-い|たけ、おさ、まさ、た|choo|"head, chief, headman, commander, director, manager; merit, forte, advantage; superiority; length "|naga(i)|"long, lengthy"|961902
513|月|4|"Tsuki, Tsukihen"|8|ゲツ、ガツ、つき||"getsu, 	gatsu"|"moon; month; Monday; month (of the year)"|tsuki|"moon; month"|960443
